sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція ГРЕКУВАТА,станція РЕНІ (ЕКСП. ЧФР),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,4552,148,48.096038,33.390483,45.457968,28.265869
станція ГРЕКУВАТА,станція УЖГОРОД (ЕКСП. ЖСР),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),1240,268,48.096038,33.390483,48.6094982,22.3006874
станція ГРЕКУВАТА,станція ЧОП (ЕКСП. ЖСР),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),434,262,48.096038,33.390483,48.432477,22.2055633
станція ДНІПРО-ГОЛОВНИЙ,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,БРИКЕТЫ ЖЕЛЕЗНОЙ РУДЫ,449,66,48.477403,35.0153242,47.20838,37.5633199
станція ДНІПРОРУДНЕ,станція МОСТИСЬКА II (ЕКСП. ПКП),РУДА ЖЕЛЕЗНАЯ МАРТЕНОВСКАЯ,844,252,47.174629,34.962825,49.8166178,23.0325224
станція ДНІПРОРУДНЕ,станція МОСТИСЬКА II (ЕКСП. ЧД),РУДА ЖЕЛЕЗНАЯ АГЛОМЕРАЦИОННАЯ (АГЛОРУДА),1120,172,47.174629,34.962825,49.8166178,23.0325224
станція ДНІПРОРУДНЕ,станція ЧОП (ЕКСП. ЧД),РУДА ЖЕЛЕЗНАЯ АГЛОМЕРАЦИОННАЯ (АГЛОРУДА),1451,261,47.174629,34.962825,48.432477,22.2055633
станція ЖМЕРИНКА,станція УЖГОРОД (ЕКСП. ЖСР),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),436,133,49.0346627,28.1115142,48.6094982,22.3006874
станція ЗАПОРІЖЖЯ I,станція АСЛАНОВЕ,КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),439,104,47.7952285,35.1875062,47.245581,37.581294
станція ЗАПОРІЖЖЯ I,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,1452,106,47.7952285,35.1875062,47.20838,37.5633199
