sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція ПОДІЛЬСЬК,станція КСЕНІЄВЕ (ЕКСП.),ЗЕРНО КУКУРУЗЫ,457,67,47.748235,29.5294171,46.36337,30.62144
станція ПОДІЛЬСЬК,станція КСЕНІЄВЕ (ЕКСП.),ЯЧМЕНЬ,282,67,47.748235,29.5294171,46.36337,30.62144
станція ПОДІЛЬСЬК,станція ОДЕСА-ПОРТ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,1782,68,47.748235,29.5294171,46.485545,30.748833
станція ПОДІЛЬСЬК,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,301,94,47.748235,29.5294171,46.322273,30.629317
станція ПОДІЛЬСЬК,станція ЧОРНОМОРСЬКА-ЕКСП.(ДЛЯ ОПЗ),ЗЕРНО КУКУРУЗЫ,286,83,47.748235,29.5294171,46.82775,30.76
станція ПОДІЛЬСЬК,станція ЧОРНОМОРСЬКА-ЕКСП.(ДЛЯ ОПЗ),ПШЕНИЦА,413,83,47.748235,29.5294171,46.82775,30.76
станція ПОДІЛЬСЬК,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,817,85,47.748235,29.5294171,46.82775,30.76
станція ПОДІЛЬСЬК,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,1168,85,47.748235,29.5294171,46.82775,30.76
станція ПОМІЧНА,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЗЕРНО КУКУРУЗЫ,204,106,48.2412797,31.4081962,46.322273,30.629317
станція ПОПІЛЬНЯ,станція КСЕНІЄВЕ (ЕКСП.),ЗЕРНО КУКУРУЗЫ,289,141,49.9443357,29.4597706,46.36337,30.62144
