sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція УДАЧНА,станція САРТАНА,КОНЦЕНТРАТ УГОЛЬНЫЙ,1419,87,48.237717,36.99034,47.1536589,37.5740898
станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,станція АВДІЇВКА,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",185,210.5,46.322273,30.629317,48.148889,37.733333
станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,станція ЗАПОРІЖЖЯ-КАМ’ЯНСЬКЕ,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",51,65,46.322273,30.629317,48.4808925,34.6462622
станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,станція ПРАВДА,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",49,170,46.322273,30.629317,48.517983,34.658394
станція ЧОРНОМОРСЬКА,станція АВДІЇВКА,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",50,868,46.82775,30.76,48.148889,37.733333
станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),станція ЗАПОРІЖЖЯ-ЛІВЕ,УГОЛЬ КАМЕННЫЙ МАРКИ СС-СЛАБОСПЕКАЮЩИЙСЯ,1257,730,46.82775,30.76,47.86944,35.1917334
станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),станція ЛАДИЖИН,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",100,139,46.82775,30.76,48.609462,29.1503679
станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",150,505,46.82775,30.76,47.20838,37.5633199
станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),станція ТРИПІЛЛЯ-ДНІПРОВСЬКЕ,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",502,226.5,46.82775,30.76,50.1397982,30.7534098
станція ЧОРНОМОРСЬКА (ДЛЯ ТІС),станція УДАЧНА,КОНЦЕНТРАТ УГОЛЬНЫЙ,315,801,46.82775,30.76,48.237717,36.99034
станція ЧУМАКОВЕ,станція КОМУНАРСЬК,УГОЛЬ КАМЕННЫЙ МАРКИ Т-ТОЩИЙ,46,63,47.973896,37.889423,48.483418,38.778808
станція ЧУМАКОВЕ,станція КРИВИЙ ТОРЕЦЬ,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",41,29,47.973896,37.889423,48.409766,37.78366
станція ЧУМАКОВЕ,станція ЛИМАН,УГОЛЬ КАМЕННЫЙ МАРКИ Т-ТОЩИЙ,45,143,47.973896,37.889423,48.9644789,37.8275288
станція ЩОТОВЕ,станція ДАРНИЦЯ,АНТРАЦИТ,100,151,48.172945,39.126366,50.430674,30.643448
станція ЯНІВСЬКИЙ (РЗД),станція ЕЛЕКТРИЧНА,АНТРАЦИТ,45,114,48.153274,38.782219,48.867694,37.755615
