sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція ВІКТОРІЯ,станція КСЕНІЄВЕ (ЕКСП.),ЗЕРНО КУКУРУЗЫ,52,188,49.168466,26.6001879,46.36337,30.62144
станція ВІКТОРІЯ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,54,73,49.168466,26.6001879,46.322273,30.629317
станція ВІЛЬНОГІРСЬК,станція ЧОРНОМОРСЬКА-ЕКСП.(ДЛЯ ОПЗ),ЗЕРНО КУКУРУЗЫ,41,130,48.4649743,34.0136594,46.82775,30.76
станція ВІННИЦЯ,станція КСЕНІЄВЕ (ЕКСП.),ПШЕНИЦА,54,74,49.239428,28.5106651,46.36337,30.62144
станція ВІННИЦЯ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ПШЕНИЦА,53,199,49.239428,28.5106651,46.9575,31.975556
станція ВІННИЦЯ,станція ОДЕСА-ПОРТ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,467,147,49.239428,28.5106651,46.485545,30.748833
станція ВІННИЦЯ,станція ЧОРНОМОРСЬК-ПОРТ,ЗЕРНО КУКУРУЗЫ,418,50,49.239428,28.5106651,46.32227,30.62932
станція ВІННИЦЯ,станція ЧОРНОМОРСЬКА-ЕКСП.(ДЛЯ ОПЗ),ЗЕРНО КУКУРУЗЫ,52,165,49.239428,28.5106651,46.82775,30.76
станція ВІННИЦЯ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,51,100,49.239428,28.5106651,46.82775,30.76
станція ВЛАСІВКА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,53,180,49.592096,35.7162969,46.82775,30.76
станція ВОЛОДИМИР-ВОЛИНСЬКИЙ,станція ЧОРНОМОРСЬК-ПОРТ,ПШЕНИЦА,53,78,50.8450086,24.3352242,46.32227,30.62932
станція ВОЛОДИМИР-ВОЛИНСЬКИЙ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,109,124.5,50.8450086,24.3352242,46.322273,30.629317
станція ВОЛОДИМИР-ВОЛИНСЬКИЙ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,104,189,50.8450086,24.3352242,46.82775,30.76
станція ВОРОНОВИЦЯ,станція КСЕНІЄВЕ (ЕКСП.),ЗЕРНО КУКУРУЗЫ,213,157,49.12341,28.712317,46.36337,30.62144
станція ВОРОНОВИЦЯ,станція КСЕНІЄВЕ (ЕКСП.),ЯЧМЕНЬ,50,157,49.12341,28.712317,46.36337,30.62144
станція ВОРОНОВИЦЯ,станція ЧОРНОМОРСЬК-ПОРТ,ЗЕРНО КУКУРУЗЫ,302,185,49.12341,28.712317,46.32227,30.62932
станція ВОРОНОВИЦЯ,станція ЧОРНОМОРСЬК-ПОРТ,ПШЕНИЦА,210,44,49.12341,28.712317,46.32227,30.62932
станція ВОРОНОВИЦЯ,станція ЧОРНОМОРСЬКА-ЕКСП.(ДЛЯ ОПЗ),ЗЕРНО КУКУРУЗЫ,269,173,49.12341,28.712317,46.82775,30.76
станція ВОРОНОВИЦЯ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,1112,174,49.12341,28.712317,46.82775,30.76
станція ВОРОНОВИЦЯ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,54,104,49.12341,28.712317,46.82775,30.76
