sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція КЛЕСІВ,станція ДУБЛЯНИ-ЛЬВІВСЬКІ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,44,79,51.3118938,26.8919075,49.882756,24.0938039
станція КЛЕСІВ,станція ЗАПИТІВ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,192,136,51.3118938,26.8919075,49.920035,24.2236161
станція КЛЕСІВ,станція ІЗОВ (ЕКСП. ПКП),ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,303,125,51.3118938,26.8919075,50.828474,24.059367
станція КЛЕСІВ,станція КОЧУБЕЇВКА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,153,48,51.3118938,26.8919075,49.741944,34.969722
станція КЛЕСІВ,станція КРАСНЕ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,173,132,51.3118938,26.8919075,49.9172135,24.6159582
станція КЛЕСІВ,станція МАГАЛА (РЗД),ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,47,149,51.3118938,26.8919075,48.288608,26.0245891
станція КЛЕСІВ,станція МИКОЛАЇВ-ДНІСТРОВСЬКИЙ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,46,122,51.3118938,26.8919075,49.5119481,23.9535355
станція КЛЕСІВ,станція МОСТИСЬКА II (ЕКСП. ПКП),ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,300,91,51.3118938,26.8919075,49.8166178,23.0325224
станція КЛЕСІВ,станція НАДВІРНА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,503,125,51.3118938,26.8919075,48.6242545,24.5847443
станція КЛЕСІВ,станція РАВА-РУСЬКА (ЕКСП. НА ВЕРХРАТУ),ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,95,98,51.3118938,26.8919075,50.2260935,23.6172155
станція КЛЕСІВ,станція РАДИВИЛІВ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,47,71,51.3118938,26.8919075,50.1284748,25.2516423
станція КЛЕСІВ,станція СОКАЛЬ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,880,133,51.3118938,26.8919075,50.4649598,24.2574808
станція КЛЕСІВ,станція ХОРОЛ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,100,143,51.3118938,26.8919075,49.7844376,33.2073584
станція КЛЕСІВ,станція ХРИПЛИН,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,170,117,51.3118938,26.8919075,48.8851079,24.7468767
станція КЛЕСІВ,станція ХУСТ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,43,164,51.3118938,26.8919075,48.16053,23.29862
станція КЛЕСІВ,станція ЧЕРНІВЦІ-ПІВДЕННА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,43,98,51.3118938,26.8919075,48.265337,25.957599
станція КЛЕСІВ,станція ШКЛО-СТАРЖИСЬКА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,85,91,51.3118938,26.8919075,49.970053,23.5551111
станція КЛЕСІВ,станція ЯГОДИН (ЕКСП. ПКП),ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,309,95,51.3118938,26.8919075,51.198201,23.895884
станція КОРОЛЕВО,станція КОЛОМИЯ,ЩЕБЕНЬ ДЛЯ БАЛЛАСТИРОВКИ ЖЕЛЕЗНОДОРОЖНОГО ПУТИ,42,104,48.15354,23.1409201,48.53443,25.0600831
станція КОРОСТЕНЬ- ЖИТОМИРСЬКИЙ,станція КИЇВ-ВОЛИНСЬКИЙ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,445,76,50.960908,28.5927599,50.4121955,30.4301124
станція КОРОСТЕНЬ- ЖИТОМИРСЬКИЙ,станція КСЕНІЄВЕ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,61,167,50.960908,28.5927599,46.36337,30.62144
станція КОРОСТЕНЬ- ЖИТОМИРСЬКИЙ,станція МУКАЧЕВО,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,61,109,50.960908,28.5927599,48.4295174,22.7116533
станція КОРОСТЕНЬ- ЖИТОМИРСЬКИЙ,станція ОДЕСА-ЗАСТАВА I,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,287,92,50.960908,28.5927599,46.4776308,30.6545697
станція КОРОСТЕНЬ- ЖИТОМИРСЬКИЙ,станція ОДЕСА-ЛІСКИ,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,157,212,50.960908,28.5927599,46.522819,30.60268
станція КОРОСТЕНЬ- ЖИТОМИРСЬКИЙ,станція ОДЕСА-ЛІСКИ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,41,106,50.960908,28.5927599,46.522819,30.60268
станція КОРОСТЕНЬ- ЖИТОМИРСЬКИЙ,станція ПЕРЕЯСЛАВСЬКА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,217,126,50.960908,28.5927599,50.2639559,31.6561389
станція КОРОСТЕНЬ- ЖИТОМИРСЬКИЙ,станція ПЕРСЕНКІВКА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,57,145,50.960908,28.5927599,49.8098013,24.030408
станція КОРОСТЕНЬ- ЖИТОМИРСЬКИЙ,станція СОКАЛЬ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,52,79,50.960908,28.5927599,50.4649598,24.2574808
станція КОРОСТЕНЬ- ЖИТОМИРСЬКИЙ,станція ХРИПЛИН,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,61,143,50.960908,28.5927599,48.8851079,24.7468767
станція КРЕМЕНЧУК,станція ГРАКОВЕ,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,97,106,49.0678972,33.4277227,49.7292217,36.8648588
станція КРЕМЕНЧУК,станція ГРАКОВЕ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,45,79,49.0678972,33.4277227,49.7292217,36.8648588
станція КРЕМЕНЧУК,станція СУПРУНІВКА,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,95,105.5,49.0678972,33.4277227,49.587831,34.476587
станція КРЕМЕНЧУК,станція СУПРУНІВКА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,60,28,49.0678972,33.4277227,49.587831,34.476587
станція КРИВИН,станція ГОРОДОК-ЛЬВІВСЬКИЙ,ПЕСОК СТРОИТЕЛЬНЫЙ,102,136,50.361524,26.7001832,49.789677,23.629894
станція КРИВИН,станція ДАВИДІВ,ПЕСОК СТРОИТЕЛЬНЫЙ,43,51,50.361524,26.7001832,49.7431731,24.1471702
станція КРЮКІВ-НА-ДНІПРІ,станція ПОКРОВСЬК,ЩЕБЕНЬ ДЛЯ БАЛЛАСТИРОВКИ ЖЕЛЕЗНОДОРОЖНОГО ПУТИ,46,91,49.034444,33.435556,48.285102,37.1816185
станція НІКОПОЛЬ,станція КАЛАНЧАК,ШЛАКИ ЭЛЕКТРОПЕЧНЫЕ,46,151,47.5853703,34.3913662,46.254876,33.465578
станція НОВОУКРАЇНКА,станція КСЕНІЄВЕ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,60,157,48.3321208,31.5167007,46.36337,30.62144
станція НОВОУКРАЇНКА,станція ОДЕСА-ЗАСТАВА I,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,359,96,48.3321208,31.5167007,46.4776308,30.6545697
станція НОВОУКРАЇНКА,станція ОДЕСА-ЛІСКИ,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,455,148,48.3321208,31.5167007,46.522819,30.60268
станція НОВОУКРАЇНКА,станція ОДЕСА-ЛІСКИ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,858,98,48.3321208,31.5167007,46.522819,30.60268
станція ОЛЕКСАНДРІВКА,станція КАЛАНЧАК,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,42,158,47.641152,31.300802,46.254876,33.465578
станція ОЛЕКСАНДРІВКА,станція КСЕНІЄВЕ,ПЕСОК СТРОИТЕЛЬНЫЙ,46,109,47.641152,31.300802,46.36337,30.62144
станція ОЛЕКСАНДРІВКА,станція ОДЕСА-ЛІСКИ,ПЕСОК СТРОИТЕЛЬНЫЙ,426,100,47.641152,31.300802,46.522819,30.60268
станція ОЛЕКСАНДРІВКА,станція ОДЕСА-ТОВАРНА,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,46,96,47.641152,31.300802,46.45531,30.71124
станція ПЕНИЗЕВИЧІ,станція БРОВАРИ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,107,101,50.735632,29.371731,50.5147282,30.8132567
станція ПЕНИЗЕВИЧІ,станція ЗАСУЛЛЯ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,42,129,50.735632,29.371731,50.696226,33.4956691
станція ПЕНИЗЕВИЧІ,станція КОЗЯТИН II,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,85,146.5,50.735632,29.371731,49.757071,28.783177
станція ПЕНИЗЕВИЧІ,станція ПИРЯТИН,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,93,101,50.735632,29.371731,50.23819,32.5059299
станція ПЕНИЗЕВИЧІ,станція РЯСНА II,ПЕСОК СТРОИТЕЛЬНЫЙ,104,181.5,50.735632,29.371731,49.8636374,23.9381062
станція ПЕНИЗЕВИЧІ,станція ХУСТ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,41,163,50.735632,29.371731,48.16053,23.29862
станція ПЕНИЗЕВИЧІ,станція ЦЕНЖІВ,ПЕСОК СТРОИТЕЛЬНЫЙ,50,65,50.735632,29.371731,48.999803,24.596851
станція ПЕНИЗЕВИЧІ,станція ЯМНИЦЯ,ПЕСОК СТРОИТЕЛЬНЫЙ,44,154,50.735632,29.371731,48.9855201,24.7113369
станція ПОЛОННЕ,станція РЯСНА II,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,46,153,50.1392993,27.488111,49.8636374,23.9381062
станція ПОМІЧНА,станція ЗАОСКІЛЛЯ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,43,207,48.2412797,31.4081962,49.708273,37.63754
станція ПОМІЧНА,станція ОДЕСА-ЛІСКИ,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,52,139,48.2412797,31.4081962,46.522819,30.60268
станція ПОМІЧНА,станція ОДЕСА-ЛІСКИ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,316,139,48.2412797,31.4081962,46.522819,30.60268
станція ПОМІЧНА,станція ПЛАСТИ,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,48,148,48.2412797,31.4081962,48.099349,37.355355
станція РЕДУТИ,станція П’ЯТИХАТКИ,ЩЕБЕНЬ ДЛЯ БАЛЛАСТИРОВКИ ЖЕЛЕЗНОДОРОЖНОГО ПУТИ,41,54,49.016034,33.56665,48.4150192,33.7040629
станція РОКИТНЕ,станція ГУБАРІВКА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,41,199,49.6956,30.5090999,50.14025,35.366708
станція РОКИТНЕ,станція КРОЛЕВЕЦЬ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,55,134,49.6956,30.5090999,51.5513099,33.3628093
станція РОКИТНЕ,станція ПЕРЕЯСЛАВСЬКА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,266,115,49.6956,30.5090999,50.2639559,31.6561389
станція РОКИТНЕ,станція ПЕТРО КРИВОНІС,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,51,65,49.6956,30.5090999,50.354151,30.544861
станція РОКИТНЕ-ВОЛИНСЬКЕ,станція ПЕРСЕНКІВКА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,366,118,51.2710706,27.220723,49.8098013,24.030408
станція РОКИТНЕ-ВОЛИНСЬКЕ,станція СОКАЛЬ,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,43,72,51.2710706,27.220723,50.4649598,24.2574808
станція РОСТУЩА,станція ПРИДОНЕЦЬКА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,196,88.5,47.8088516,35.2845533,48.896298,37.704072
станція РОСТУЩА,станція РУБІЖНЕ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,49,157,47.8088516,35.2845533,49.0241813,38.3538418
станція РОСТУЩА,станція ШПИЧКИНЕ,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,93,104,47.8088516,35.2845533,48.753699,37.5595991
станція РОСТУЩА,станція ШПИЧКИНЕ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,149,71,47.8088516,35.2845533,48.753699,37.5595991
станція САХАРНА,станція ІЛАРІОНОВЕ,ЩЕБЕНЬ ДЛЯ БАЛЛАСТИРОВКИ ЖЕЛЕЗНОДОРОЖНОГО ПУТИ,41,66,48.642709,32.625862,48.4052689,35.2802166
станція СЛАВУТА I,станція ДАВИДІВ,ПЕСОК СТРОИТЕЛЬНЫЙ,53,137,50.32072,26.88511,49.7431731,24.1471702
станція СМОЛКА,станція БЕРЕЗОВИЦЯ-ОСТРІВ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,105,129,50.5478,27.66,49.490776,25.605512
станція СМОЛКА,станція ВОЛОВЕЦЬ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,256,129,50.5478,27.66,48.7137457,23.1846838
станція СМОЛКА,станція ДРОГОБИЧ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,110,149,50.5478,27.66,49.3551448,23.5434562
станція СМОЛКА,станція ЛУЦЬК,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,41,117,50.5478,27.66,50.7579233,25.3506657
станція СМОЛКА,станція МУКАЧЕВО,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,48,190,50.5478,27.66,48.4295174,22.7116533
