sender,lat_sender,lon_sender,no_wagons,receiver,lat_receiver,lon_receiver
станція НОВОГРОДІВКА,48.189131,37.334021,32448,станція ПЛАСТИ,48.099349,37.355355
станція НОВОГРОДІВКА,48.189131,37.334021,32448,станція ПОКРОВСЬК,48.285102,37.1816185
станція НОВОГРОДІВКА,48.189131,37.334021,32448,станція РОСІЯ,48.159167,37.360833
станція НОВОГРОДІВКА,48.189131,37.334021,32448,станція СВІТЛОДАРСЬКЕ,48.460125,38.170116
станція НОВОГРОДІВКА,48.189131,37.334021,32448,станція ЦУКУРИХА,48.084594,37.307092
станція НОВОГРОДІВКА,48.189131,37.334021,32448,станція ЧЕРКАСИ,49.425949,32.0498809
станція ПЕЛАГІЇВСЬКИЙ,48.092167,38.594515,19311,станція ЛИМАН,48.9644789,37.8275288
станція ПЕЛАГІЇВСЬКИЙ,48.092167,38.594515,19311,станція НОВИЙ СВІТ,47.803492,38.0067229
станція ПЕРЕЇЗНА,48.897354,38.4776521,11670,станція ПОКРОВСЬК,48.285102,37.1816185
станція ПІВДЕННОДОНБАСЬКА,47.751667,37.509722,47696,станція НОВОГРОДІВКА,48.189131,37.334021
станція ПІВДЕННОДОНБАСЬКА,47.751667,37.509722,47696,станція ПЛАСТИ,48.099349,37.355355
станція ПІВДЕННОДОНБАСЬКА,47.751667,37.509722,47696,станція ПОКРОВСЬК,48.285102,37.1816185
станція ПІВДЕННОДОНБАСЬКА,47.751667,37.509722,47696,станція СВІТЛОДАРСЬКЕ,48.460125,38.170116
станція ПЛАСТИ,48.099349,37.355355,8693,станція СВІТЛОДАРСЬКЕ,48.460125,38.170116
станція ПОКРОВСЬК,48.285102,37.1816185,81964,станція КРИВИЙ РІГ-ГОЛОВНИЙ,47.9123,33.451545
станція ПОКРОВСЬК,48.285102,37.1816185,81964,станція ЛИМАН,48.9644789,37.8275288
станція ПОКРОВСЬК,48.285102,37.1816185,81964,станція ОСНОВА,49.9395953,36.2330042
станція ПОКРОВСЬК,48.285102,37.1816185,81964,станція ПОКРОВСЬК,48.285102,37.1816185
станція ПОКРОВСЬК,48.285102,37.1816185,81964,станція РОЯ,47.989332,37.306483
станція ПОКРОВСЬК,48.285102,37.1816185,81964,станція СВІТЛОДАРСЬКЕ,48.460125,38.170116
станція ПОКРОВСЬК,48.285102,37.1816185,81964,станція ТРИПІЛЛЯ-ДНІПРОВСЬКЕ,50.1397982,30.7534098
станція ПОКРОВСЬК,48.285102,37.1816185,81964,станція ЯМНИЦЯ,48.9855201,24.7113369
станція ПРАВДА,48.517983,34.658394,10230,станція ЕЛЕКТРИЧНА,48.867694,37.755615
станція ПРАВДА,48.517983,34.658394,10230,станція ХМЕЛЬНИЦЬКИЙ,49.416645,27.0097674
станція ПРАВДА,48.517983,34.658394,10230,станція ЯМНИЦЯ,48.9855201,24.7113369
станція РОДИНСЬКА,48.362572,37.198645,74206,станція АВДІЇВКА,48.148889,37.733333
станція РОДИНСЬКА,48.362572,37.198645,74206,станція БУРШТИН,49.217461,24.6477491
станція РОДИНСЬКА,48.362572,37.198645,74206,станція ЕНЕРГОДАР,47.494636,34.64672
станція РОДИНСЬКА,48.362572,37.198645,74206,станція КРИВИЙ РІГ-ГОЛОВНИЙ,47.9123,33.451545
станція РОДИНСЬКА,48.362572,37.198645,74206,станція ЛАДИЖИН,48.609462,29.1503679
станція РОДИНСЬКА,48.362572,37.198645,74206,станція ЛИМАН,48.9644789,37.8275288
станція РОДИНСЬКА,48.362572,37.198645,74206,станція ОСНОВА,49.9395953,36.2330042
станція РОДИНСЬКА,48.362572,37.198645,74206,станція ПОКРОВСЬК,48.285102,37.1816185
станція РОДИНСЬКА,48.362572,37.198645,74206,станція СВІТЛОДАРСЬКЕ,48.460125,38.170116
станція РОДИНСЬКА,48.362572,37.198645,74206,станція ТРИПІЛЛЯ-ДНІПРОВСЬКЕ,50.1397982,30.7534098
станція РОДИНСЬКА,48.362572,37.198645,74206,станція ЦУКУРИХА,48.084594,37.307092
станція РОДИНСЬКА,48.362572,37.198645,74206,станція ЯМНИЦЯ,48.9855201,24.7113369
станція РОДИНСЬКА,48.362572,37.198645,74206,станція ЯСИНУВАТА,48.120859,37.846206
станція РОСІЯ,48.159167,37.360833,15731,станція СВІТЛОДАРСЬКЕ,48.460125,38.170116
станція СВІТЛАНОВЕ,48.713782,38.428834,12228,станція ПОКРОВСЬК,48.285102,37.1816185
станція СВІТЛАНОВЕ,48.713782,38.428834,12228,станція СВІТЛОДАРСЬКЕ,48.460125,38.170116
станція СОСНІВКА,50.2918113,24.263036,75204,станція БУРШТИН,49.217461,24.6477491
станція СОСНІВКА,50.2918113,24.263036,75204,станція ГУМЕНЦІ,48.770473,26.606396
станція СОСНІВКА,50.2918113,24.263036,75204,станція ДОБРОТВІР,50.20584,24.386969
станція СОСНІВКА,50.2918113,24.263036,75204,станція ЗДОЛБУНІВ,50.5068585,26.26955
станція СОСНІВКА,50.2918113,24.263036,75204,станція КАЛУШ,49.0128135,24.3491688
станція СОСНІВКА,50.2918113,24.263036,75204,станція ПОЛОННЕ,50.1392993,27.488111
станція СОСНІВКА,50.2918113,24.263036,75204,станція РОЖНЯТІВ,48.998146,24.162632
станція СОСНІВКА,50.2918113,24.263036,75204,станція СОСНІВКА,50.2918113,24.263036
станція СОСНІВКА,50.2918113,24.263036,75204,станція ТРИПІЛЛЯ-ДНІПРОВСЬКЕ,50.1397982,30.7534098
станція СОСНІВКА,50.2918113,24.263036,75204,станція ЯМНИЦЯ,48.9855201,24.7113369
станція УДАЧНА,48.237717,36.99034,47064,станція АВДІЇВКА,48.148889,37.733333
станція УДАЧНА,48.237717,36.99034,47064,станція ЗАПОРІЖЖЯ-ЛІВЕ,47.86944,35.1917334
станція УДАЧНА,48.237717,36.99034,47064,станція КРИВИЙ РІГ-ГОЛОВНИЙ,47.9123,33.451545
станція УДАЧНА,48.237717,36.99034,47064,станція КРИНИЧНА,48.126003,38.026796
станція УДАЧНА,48.237717,36.99034,47064,станція ПРАВДА,48.517983,34.658394
станція УДАЧНА,48.237717,36.99034,47064,станція САРТАНА,47.1536589,37.5740898
станція УДАЧНА,48.237717,36.99034,47064,станція УЖГОРОД (ЕКСП. ЖСР),48.6094982,22.3006874
станція УДАЧНА,48.237717,36.99034,47064,станція ХАНЖЕНКОВЕ,48.08555,38.076849
станція ЦУКУРИХА,48.084594,37.307092,13993,станція СВІТЛОДАРСЬКЕ,48.460125,38.170116
станція ЧЕРВОНОГРАД,50.396845,24.2293266,11946,станція СОСНІВКА,50.2918113,24.263036
станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76,29158,станція АВДІЇВКА,48.148889,37.733333
станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76,29158,станція ЗАПОРІЖЖЯ-КАМ’ЯНСЬКЕ,48.4808925,34.6462622
станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76,29158,станція ЗАПОРІЖЖЯ-ЛІВЕ,47.86944,35.1917334
станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76,29158,станція КОМУНАРСЬК,48.483418,38.778808
станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76,29158,станція КРИВИЙ РІГ-ГОЛОВНИЙ,47.9123,33.451545
станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76,29158,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,47.20838,37.5633199
станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76,29158,станція ПРАВДА,48.517983,34.658394
станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76,29158,станція САРТАНА,47.1536589,37.5740898
станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76,29158,станція ТРИПІЛЛЯ-ДНІПРОВСЬКЕ,50.1397982,30.7534098
