sender,receiver,no_wagons,lat_sender,lon_sender,lat_receiver,lon_receiver,gzk_cluster,dnb_cluster,port_cluster,quarry
станція ЗАПОРІЖЖЯ-КАМ’ЯНСЬКЕ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),7219,48.4808925,34.6462622,46.82775,30.76,no,no,yes,no
станція ЗАПОРІЖЖЯ-ЛІВЕ,станція ДНІПРОРУДНЕ,26346,47.86944,35.1917334,47.174629,34.962825,no,no,no,no
станція ЗАПОРІЖЖЯ-ЛІВЕ,станція ЗАПОРІЖЖЯ-ЛІВЕ,9465,47.86944,35.1917334,47.86944,35.1917334,no,no,no,no
станція ЗАПОРІЖЖЯ-ЛІВЕ,станція ІНГУЛЕЦЬ,13719,47.86944,35.1917334,47.679167,33.142778,yes,no,no,no
станція ЗАПОРІЖЖЯ-ЛІВЕ,станція КРИВИЙ РІГ,16601,47.86944,35.1917334,47.880874,33.384342,yes,no,no,no
станція ЗАПОРІЖЖЯ-ЛІВЕ,станція ОДЕСА-ПОРТ  (ЕКСП.),7720,47.86944,35.1917334,46.485545,30.748833,no,no,yes,no
станція ЗАПОРІЖЖЯ-ЛІВЕ,станція РЯДОВА,27674,47.86944,35.1917334,48.229267,33.534595,yes,no,no,no
станція ЗОЛОТНИШИНЕ,станція БАТЬОВО (ЕКСП. МАВ),34020,49.018889,33.644722,48.3616037,22.3862198,no,no,no,no
станція ЗОЛОТНИШИНЕ,станція ЗОЛОТНИШИНЕ,12714,49.018889,33.644722,49.018889,33.644722,no,no,no,no
станція ЗОЛОТНИШИНЕ,станція ІЗМАЇЛ  (ЕКСП.),7324,49.018889,33.644722,45.3600096,28.812532,no,no,yes,no
станція ЗОЛОТНИШИНЕ,станція УЖГОРОД (ЕКСП. ЖСР),11503,49.018889,33.644722,48.6094982,22.3006874,no,no,no,no
станція ЗОЛОТНИШИНЕ,станція ЧОП (ЕКСП. ЖСР),13152,49.018889,33.644722,48.432477,22.2055633,no,no,no,no
станція ЗОЛОТНИШИНЕ,станція ЧОП (ЕКСП. ЧД),13614,49.018889,33.644722,48.432477,22.2055633,no,no,no,no
станція ІЗМАЇЛ,станція ЗОЛОТНИШИНЕ,7615,45.3600096,28.812532,49.018889,33.644722,no,no,no,no
станція ІЗМАЇЛ,станція ЧОРНОМОРСЬК-ПОРТ,9445,45.3600096,28.812532,46.32227,30.62932,no,no,yes,no
станція ІЗОВ,станція КЛЕСІВ,7486,50.828474,24.059367,51.3118938,26.8919075,no,no,no,yes
станція ІЗОВ (ЕКСП. ПКП),станція КРИВИЙ РІГ,23753,50.828474,24.059367,47.880874,33.384342,yes,no,no,no
станція ІЗОВ (ЕКСП. ПКП),станція ТЕРНИ,7065,50.828474,24.059367,48.178684,33.534576,yes,no,no,no
станція ІНГУЛЕЦЬ,станція АСЛАНОВЕ,11710,47.679167,33.142778,47.245581,37.581294,yes,no,no,no
станція ІНГУЛЕЦЬ,станція БЕРЕГОВА  (ЕКСП.),14389,47.679167,33.142778,46.632276,31.044189,yes,no,yes,no
станція ІНГУЛЕЦЬ,станція ЗАПОРІЖЖЯ-ЛІВЕ,30113,47.679167,33.142778,47.86944,35.1917334,yes,no,no,no
станція ІНГУЛЕЦЬ,станція ІНГУЛЕЦЬ,12492,47.679167,33.142778,47.679167,33.142778,yes,no,no,no
станція ІНГУЛЕЦЬ,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,17751,47.679167,33.142778,47.20838,37.5633199,yes,no,no,no
станція ІНГУЛЕЦЬ,станція УЖГОРОД (ЕКСП. ЖСР),14889,47.679167,33.142778,48.6094982,22.3006874,yes,no,no,no
станція ІНГУЛЕЦЬ,станція ЧОП (ЕКСП. ЧД),10139,47.679167,33.142778,48.432477,22.2055633,yes,no,no,no
станція ІЧНЯ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),7700,50.8423681,32.4079752,46.9575,31.975556,no,no,yes,no
станція КАГАМЛИЦЬКА,станція БОРИСПІЛЬ,14903,49.140833,33.461667,50.3766975,30.9448324,no,no,no,no
станція КАГАМЛИЦЬКА,станція БРОДИ,7808,49.140833,33.461667,50.074371,25.1408283,no,no,no,no
станція КАГАМЛИЦЬКА,станція КАГАМЛИЦЬКА,8126,49.140833,33.461667,49.140833,33.461667,no,no,no,no
станція КАГАМЛИЦЬКА,станція ОДЕСА-ПЕРЕСИП,14191,49.140833,33.461667,46.52502,30.726413,no,no,yes,no
