sender,receiver,cargo,tot_no_wagons,median_speed_km_day,avrg_money_UAH,avrg_tkm
станція БІЛИЙ КОЛОДЯЗЬ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ПШЕНИЦА,247,269,24928.417,55494.72408
станція БІЛИЙ КОЛОДЯЗЬ,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,264,162,21903.9625,69318.88171
станція БІЛА ЦЕРКВА,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЗЕРНО КУКУРУЗЫ,247,132,21846.58745,43284.23684
станція БІЛА ЦЕРКВА,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,257,110,22021.6393,45000.80253
станція БІЛА ЦЕРКВА,станція КСЕНІЄВЕ (ЕКСП.),ЗЕРНО КУКУРУЗЫ,451,106,18812.21153,41735.20887
станція БІЛА КРИНИЦЯ,станція ГУМЕНЦІ,ПШЕНИЦА,227,139,19828.63436,67742.05595
станція БІЛА КРИНИЦЯ,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,223,47,13059.63812,22807.01323
станція БІЛЯЇВКА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,337,270,18437.1273,56112.91816
станція БІЛОВОДИ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЗЕРНО КУКУРУЗЫ,1671,150,26148.09773,49961.1219
станція БІЛОВОДИ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,219,116,18599.70137,51813.48301
станція БІЛОВОДИ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,575,342,23564.97583,48625.636
станція БІЛОВОДИ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,1026,133,20833.25117,35597.8884
станція БІЛОВОДИ,станція ОДЕСА-ПОРТ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,263,139,16537.07072,45840.28745
станція БІЛОВОДИ,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,436,349,14247.37615,48347.90656
станція БІЛОПІЛЛЯ,станція ЖОВТНЕВА  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,352,283,24209.38835,55932.51136
станція БІЛОПІЛЛЯ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,652,329,30312.39969,64846.87942
станція БІЛОПІЛЛЯ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,749,209,24250.54019,53850.81734
станція БІЛОПІЛЛЯ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ПШЕНИЦА,261,279,19567.69349,58327.28
станція БЕРДИЧІВ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,543,118,19701.26372,39221.37149
станція БЕРДИЧІВ,станція ОДЕСА-ПОРТ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,653,108,15716.99847,34300.98515
станція БЕРДИЧІВ,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,300,131,16244.22533,35528.50427
станція БЕРЕЗІВКА,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,222,52,6135.037838,10842.38703
станція БЕРЕЗІВКА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,253,30,5536.388538,6278.602767
станція БЕРЕЗІВКА,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,281,34,5036.697509,7679.059786
станція БЕРЕЗИНЕ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,317,65,8391.78612,18084.75943
станція БЕРЕЗИНЕ,станція ЧОРНОМОРСЬКА-ЕКСП.(ДЛЯ ОПЗ),ПШЕНИЦА,206,95,7944.04466,19535.27165
станція БЕРЕЗИНЕ,станція КСЕНІЄВЕ (ЕКСП.),ЯЧМЕНЬ,277,47,6250.197834,11317.67401
станція БЕРЕЗИНЕ,станція КСЕНІЄВЕ (ЕКСП.),ПШЕНИЦА,314,47,6731.226752,13012.09554
станція БЕРЕЗИНЕ,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,572,60,7902.405769,16744.65629
станція БЕРЕЗАНЬ,станція ЖОВТНЕВА  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,222,132,12220.34414,34931.73577
